# etalon position (steps)	motor position (mm)	wavenumber (cm-1)	wavenumber error (cm-1)	power (watts)
6.0750000000e+03	9.1524705703e+00	3.1091064185e+03	2.8951516664e-04	9.9703272600e-01
6.0800000000e+03	7.2713250112e+00	2.9347944285e+03	2.6604607810e-04	9.0153564800e-01
6.0800000000e+03	7.7657135541e+00	2.9784764620e+03	3.9555302114e-04	8.9063179500e-01
6.0800000000e+03	8.2501913832e+00	3.0223564985e+03	2.9900997837e-04	1.1671671800e+00
6.0800000000e+03	8.6670910545e+00	3.0665057840e+03	2.7634842341e-04	1.0672695600e+00
6.0800000000e+03	9.1547421654e+00	3.1091072745e+03	4.2506067740e-04	1.0059546875e+00
6.0850000000e+03	7.2750846429e+00	2.9358204585e+03	4.7669980932e-04	9.6988412200e-01
6.0850000000e+03	7.7726598545e+00	2.9790329025e+03	2.3638814369e-04	9.6388057700e-01
6.0850000000e+03	8.2542901525e+00	3.0230035965e+03	2.1579186438e-04	1.0691118050e+00
6.0850000000e+03	8.6696609006e+00	3.0667729735e+03	1.9301011109e-04	1.0281222100e+00
6.0850000000e+03	9.1627036282e+00	3.1098435180e+03	2.2837264324e-04	9.8158667600e-01
6.0900000000e+03	7.2760557025e+00	2.9362332330e+03	4.1620427542e-04	9.2866589750e-01
6.0900000000e+03	7.7744638562e+00	2.9796183410e+03	1.3760010153e-02	8.2616093950e-01
6.0900000000e+03	8.2575829329e+00	3.0231542665e+03	1.8735859923e-01	1.0121125140e+00
6.0900000000e+03	8.6744920331e+00	3.0674204950e+03	2.2837264324e-04	1.0411439350e+00
6.0900000000e+03	9.1697303044e+00	3.1104895825e+03	2.4029565045e-04	9.9646851350e-01
6.0950000000e+03	7.2828607906e+00	2.9371137930e+03	4.6682917910e-04	9.5733745500e-01
6.0950000000e+03	7.7856113305e+00	2.9804145110e+03	3.2583856970e-04	9.4802428900e-01
6.0950000000e+03	8.2614209380e+00	3.0240066145e+03	1.9301011109e-04	1.0361218550e+00
6.0950000000e+03	8.6816586300e+00	3.0673999125e+03	2.3241495074e-04	9.6200992800e-01
6.0950000000e+03	9.1747201121e+00	3.1117161630e+03	4.3587819998e-04	1.0944009500e+00
6.1000000000e+03	7.2871342658e+00	2.9372919660e+03	4.0023428493e-04	9.7366168800e-01
6.1000000000e+03	7.7874695099e+00	2.9806845200e+03	3.6874529949e-04	9.0807303100e-01
6.1000000000e+03	8.2663459352e+00	3.0245637350e+03	2.1579186438e-04	1.1015596750e+00
6.1000000000e+03	8.6895645086e+00	3.0678672445e+03	3.0210861013e-04	1.0034506965e+00
6.1000000000e+03	9.1807080418e+00	3.1114950185e+03	1.2612291455e-03	8.6443578900e-01
6.1050000000e+03	7.2916337228e+00	2.9377397025e+03	6.8375721748e-04	8.2526622500e-01
6.1050000000e+03	7.7938931694e+00	2.9810424250e+03	4.0023428493e-04	8.4179841900e-01
6.1050000000e+03	8.2680181405e+00	3.0253906650e+03	3.1121945273e-04	1.0214581700e+00
6.1050000000e+03	8.6952487537e+00	3.0684591855e+03	2.2837264324e-04	9.4738282900e-01
6.1100000000e+03	7.2989891482e+00	2.9388534905e+03	4.8059130090e-04	9.2770829950e-01
6.1100000000e+03	7.8003059849e+00	2.9819766060e+03	2.4029565045e-04	9.3294076350e-01
6.1100000000e+03	8.2731276135e+00	3.0259461860e+03	1.7263349150e-04	1.1294412150e+00
6.1100000000e+03	8.6995798514e+00	3.0692149390e+03	2.3241495074e-04	1.1334557550e+00
6.1150000000e+03	7.3064147717e+00	2.9390317875e+03	4.5674528647e-04	9.0216462050e-01
6.1150000000e+03	7.8055209201e+00	2.9825337640e+03	3.0517578125e-04	1.0056936600e+00
6.1150000000e+03	8.2754659800e+00	3.0266829350e+03	1.5560972637e-04	1.1662355450e+00
6.1150000000e+03	8.7074438235e+00	3.0698617190e+03	1.9777651057e-04	1.1162601050e+00
6.1200000000e+03	7.3144183980e+00	2.9393894395e+03	4.1620427542e-04	8.7199737150e-01
6.1200000000e+03	7.8135023789e+00	2.9829809780e+03	3.3707766776e-04	9.2340305500e-01
6.1200000000e+03	8.2837492936e+00	3.0270467750e+03	9.7846798962e-04	1.0540395800e+00
6.1200000000e+03	8.7137641974e+00	3.0703033775e+03	2.9930171962e-01	1.0080231170e+00
6.1250000000e+03	7.3167437961e+00	2.9397997940e+03	1.1573014859e-01	8.6728654100e-01
6.1250000000e+03	7.8167867056e+00	2.9831600930e+03	3.7126236147e-04	8.3122530600e-01
6.1250000000e+03	8.2854463911e+00	3.0271294670e+03	1.7263349150e-04	1.1065240300e+00
6.1250000000e+03	8.7165641835e+00	3.0707801110e+03	2.0325715094e-03	9.8292424100e-01
6.1300000000e+03	7.3234489463e+00	2.9406484545e+03	3.7376247296e-04	9.2868655850e-01
6.1300000000e+03	7.8239830335e+00	2.9839502215e+03	3.6621093750e-04	9.2256512800e-01
6.1300000000e+03	8.2867687162e+00	3.0277761225e+03	1.7794652999e-04	1.0284942550e+00
6.1300000000e+03	8.7245294950e+00	3.0709899620e+03	1.9301011109e-04	9.7178244050e-01
6.1350000000e+03	7.3336739648e+00	2.9416855340e+03	1.1627123575e-01	9.5888120100e-01
6.1350000000e+03	7.8329044153e+00	2.9850102040e+03	2.8300837694e-04	9.8212516400e-01
6.1350000000e+03	8.2924153373e+00	3.0287458595e+03	2.3241495074e-04	1.0331744150e+00
6.1350000000e+03	8.7393962036e+00	3.0719595615e+03	2.0243071230e-04	1.0334535250e+00
6.1400000000e+03	7.3364346870e+00	2.9415625340e+03	6.8511792971e-04	9.1347472650e-01
6.1400000000e+03	7.8356468539e+00	2.9850106190e+03	2.5532837724e-04	1.0065658415e+00
6.1400000000e+03	8.2975631830e+00	3.0284632515e+03	2.5721972043e-01	1.0157306920e+00
6.1400000000e+03	8.7460327740e+00	3.0719730095e+03	2.8786990584e-03	1.0211769700e+00
6.1450000000e+03	7.3426836616e+00	2.9415970975e+03	5.0330879219e-04	8.9114543750e-01
6.1450000000e+03	7.8383358232e+00	2.9856575505e+03	3.0821243098e-04	1.0359164100e+00
6.1450000000e+03	8.2982276675e+00	3.0291463970e+03	3.0331070093e-01	1.1072885810e+00
6.1450000000e+03	8.7512009268e+00	3.0723762490e+03	9.3565122783e-04	9.5717967400e-01
6.1500000000e+03	7.3442192037e+00	2.9426472495e+03	3.8469825194e-02	8.9443666700e-01
6.1500000000e+03	7.8433889256e+00	2.9853678750e+03	2.6604607810e-04	9.4631060400e-01
6.1500000000e+03	8.3008893491e+00	3.0293731810e+03	1.8310546875e-04	9.3961034350e-01
6.1500000000e+03	8.7542901772e+00	3.0731218635e+03	6.2665897968e-03	1.1235362650e+00
6.1550000000e+03	7.3449608598e+00	2.9427115070e+03	6.1943918244e-04	9.1741676100e-01
6.1550000000e+03	7.8453950950e+00	2.9859250270e+03	3.3430331879e-04	9.0257247400e-01
6.1550000000e+03	8.3045080164e+00	3.0293720375e+03	1.7794652999e-04	9.4703716350e-01
6.1550000000e+03	8.7564439527e+00	3.0733079620e+03	1.2176475429e-03	1.0768734500e+00
6.1600000000e+03	7.3555542004e+00	2.9436824505e+03	4.4643368037e-04	9.4938719250e-01
6.1600000000e+03	7.8564144063e+00	2.9861040165e+03	3.6621093750e-04	9.1918715600e-01
6.1600000000e+03	8.3047571450e+00	3.0295509840e+03	2.2837264324e-04	9.1661044450e-01
6.1600000000e+03	8.7565191060e+00	3.0740118710e+03	3.3430331879e-04	1.1253846900e+00
6.1650000000e+03	7.3607319799e+00	2.9435381885e+03	3.7624597186e-04	9.3895860000e-01
6.1650000000e+03	7.8629957232e+00	2.9871646115e+03	3.0210861013e-04	9.5485265250e-01
6.1650000000e+03	8.3115346183e+00	3.0305766090e+03	2.4029565045e-04	9.9389409750e-01
6.1650000000e+03	8.7634562372e+00	3.0739905065e+03	1.8310546875e-04	1.0501275950e+00
6.1700000000e+03	7.3711557247e+00	2.9440393160e+03	4.7669980932e-04	9.5478517500e-01
6.1700000000e+03	7.8701503244e+00	2.9880445675e+03	3.5850037001e-04	9.5558298350e-01
6.1700000000e+03	8.3159778953e+00	3.0314563460e+03	2.1579186438e-04	1.0194661000e+00
