# etalon position (steps)	motor position (mm)	wavenumber (cm-1)	wavenumber error (cm-1)	power (watts)
6.3350000000e+03	8.4027603240e+00	3.0434115920e+03	2.2425748378e-04	1.0012863225e+00
6.3350000000e+03	8.8978319420e+00	3.0867338775e+03	1.8310546875e-04	1.0599881550e+00
6.3400000000e+03	7.5331396689e+00	2.9571440905e+03	4.2506067740e-04	9.2002072700e-01
6.3400000000e+03	8.0289943052e+00	3.0000338425e+03	2.5165439609e-04	8.9419716000e-01
6.3400000000e+03	8.4048630079e+00	3.0442580850e+03	3.0821243098e-04	1.1751341100e+00
6.3400000000e+03	8.9039907620e+00	3.0877603325e+03	2.2425748378e-04	1.2298110250e+00
6.3450000000e+03	7.5404034791e+00	2.9572883795e+03	2.5532837724e-04	9.5939501900e-01
6.3450000000e+03	8.0393843513e+00	3.0012922620e+03	3.1121945273e-04	9.6173719150e-01
6.3450000000e+03	8.4109281145e+00	3.0449396130e+03	1.8812298593e-04	1.1540935350e+00
6.3450000000e+03	8.9070345299e+00	3.0877393850e+03	1.6148384467e-04	1.0488931350e+00
6.3500000000e+03	7.5420806456e+00	2.9578453945e+03	2.6604607810e-04	1.0055640590e+00
6.3500000000e+03	8.0455833915e+00	3.0018497285e+03	2.7295751678e-04	1.0517807000e+00
6.3500000000e+03	8.4112046419e+00	3.0449389115e+03	1.3647875839e-04	1.2284902500e+00
6.3500000000e+03	8.9098325467e+00	3.0880486860e+03	1.5612478007e-02	9.6263038800e-01
6.3550000000e+03	7.5488446181e+00	2.9592282405e+03	3.2583856970e-04	9.5865257350e-01
6.3550000000e+03	8.0490961050e+00	3.0018489125e+03	1.6148384467e-04	1.0556724550e+00
6.3550000000e+03	8.4188581842e+00	3.0452962645e+03	1.4950498918e-04	1.1305939400e+00
6.3550000000e+03	8.9209949684e+00	3.0886000495e+03	2.9587889755e-04	9.6828925050e-01
6.3600000000e+03	7.5550916093e+00	2.9592280930e+03	4.3373627941e-04	9.8608312000e-01
6.3600000000e+03	8.0605652376e+00	3.0018283060e+03	2.9587889755e-04	9.4427946850e-01
6.3600000000e+03	8.4222004656e+00	3.0459980705e+03	1.9301011109e-04	1.0840854950e+00
6.3600000000e+03	8.9231145637e+00	3.0893360365e+03	1.9301011109e-04	9.0933676100e-01
6.3650000000e+03	7.5592275388e+00	2.9598753220e+03	3.5062027872e-04	9.4747454900e-01
6.3650000000e+03	8.0606307759e+00	3.0030092250e+03	1.5891394637e-01	9.1436426100e-01
6.3650000000e+03	8.4248296601e+00	3.0461216160e+03	1.6715165939e-04	1.0111851600e+00
6.3650000000e+03	8.9299373262e+00	3.0893344825e+03	3.1419769717e-04	9.2570067900e-01
6.3700000000e+03	7.5620725003e+00	2.9602878190e+03	5.0515580314e-04	9.5543510000e-01
6.3700000000e+03	8.0619908127e+00	3.0029424980e+03	2.9587889755e-04	9.4670440300e-01
6.3700000000e+03	8.4288640639e+00	3.0461212035e+03	1.9777651057e-04	1.0143952500e+00
6.3700000000e+03	8.9346566664e+00	3.0900370035e+03	2.2837264324e-04	1.0136135550e+00
6.3750000000e+03	7.5645405984e+00	2.9602876395e+03	2.4792597670e-04	9.4130185200e-01
6.3750000000e+03	8.0625574162e+00	3.0034097110e+03	2.4792597670e-04	9.7407649450e-01
6.3750000000e+03	8.4298681896e+00	3.0470567960e+03	2.5165439609e-04	1.1001958700e+00
6.3750000000e+03	8.9357897098e+00	3.0898367225e+03	3.2583856970e-04	9.0695307900e-01
6.3800000000e+03	7.5712907078e+00	2.9602874860e+03	3.4526698300e-04	1.0425531150e+00
6.3800000000e+03	8.0692372929e+00	3.0036789110e+03	3.1121945273e-04	8.5684713050e-01
6.3800000000e+03	8.4332525990e+00	3.0470015510e+03	1.8812298593e-04	9.8829531650e-01
6.3800000000e+03	8.9385564883e+00	3.0910074855e+03	2.0698028513e-04	1.0750776650e+00
6.3850000000e+03	7.5743072881e+00	2.9609343695e+03	4.1843594973e-04	9.8135366400e-01
6.3850000000e+03	8.0782657466e+00	3.0040908745e+03	2.0698028513e-04	9.7715004700e-01
6.3850000000e+03	8.4383503270e+00	3.0479372935e+03	2.4029565045e-04	1.1854959200e+00
6.3850000000e+03	8.9435263925e+00	3.0910955135e+03	2.5165439609e-04	1.0821403050e+00
6.3900000000e+03	7.5768536663e+00	2.9610242420e+03	3.3430331879e-04	1.0241692110e+00
6.3900000000e+03	8.0856789853e+00	3.0046084135e+03	8.6145214996e-02	9.9833847700e-01
6.3900000000e+03	8.4416754938e+00	3.0479173090e+03	2.3241495074e-04	9.8853611300e-01
6.3900000000e+03	8.9480785753e+00	3.0914194830e+03	2.0698028513e-04	1.0513819650e+00
6.3950000000e+03	7.5860750775e+00	2.9617043835e+03	3.0821243098e-04	9.0233417100e-01
6.3950000000e+03	8.0854795743e+00	3.0047376130e+03	2.3638814369e-04	9.4401486200e-01
6.3950000000e+03	8.4445303083e+00	3.0486189495e+03	2.3241495074e-04	1.0658888000e+00
6.3950000000e+03	8.9523660609e+00	3.0914185420e+03	1.7263349150e-04	1.0365333850e+00
6.4000000000e+03	7.5909308889e+00	2.9619732110e+03	4.0715527539e-04	8.5727559000e-01
6.4000000000e+03	8.0877549815e+00	3.0054293780e+03	7.7591577038e-02	9.4488533850e-01
6.4000000000e+03	8.4498525460e+00	3.0488866255e+03	1.6715165939e-04	1.0968699400e+00
6.4000000000e+03	8.9562255297e+00	3.0921559940e+03	2.4792597670e-04	1.0468546850e+00
6.4050000000e+03	7.5929678118e+00	2.9623509635e+03	4.6282198755e-04	9.5331667400e-01
6.4050000000e+03	8.0993255017e+00	3.0057425895e+03	1.9301011109e-04	9.3888166550e-01
6.4050000000e+03	8.4576385644e+00	3.0488667915e+03	1.7794652999e-04	8.9909181350e-01
6.4050000000e+03	8.9608209709e+00	3.0930370560e+03	3.2007105962e-04	1.0720598550e+00
6.4100000000e+03	7.5984745632e+00	2.9627983655e+03	4.7080226503e-04	8.6988326000e-01
6.4100000000e+03	8.0983311280e+00	3.0063897305e+03	1.6148384467e-04	9.2528802600e-01
6.4100000000e+03	8.4585088879e+00	3.0490460580e+03	4.3800964644e-04	8.3846701450e-01
6.4100000000e+03	8.9635627826e+00	3.0931990750e+03	6.9057442579e-03	1.0205816200e+00
6.4150000000e+03	7.6053209477e+00	2.9638794015e+03	3.0210861013e-04	1.0185842240e+00
6.4150000000e+03	8.1047401313e+00	3.0071253780e+03	2.8300837694e-04	8.8441226150e-01
6.4150000000e+03	8.4669992628e+00	3.0499810580e+03	2.3241495074e-04	9.8703934550e-01
6.4150000000e+03	8.9709741112e+00	3.0932504680e+03	2.8628025878e-04	9.5079184150e-01
6.4200000000e+03	7.6054494977e+00	2.9637338430e+03	3.5589305999e-04	1.0048396115e+00
6.4200000000e+03	8.1108771635e+00	3.0071255350e+03	2.6952395222e-04	9.2250969200e-01
6.4200000000e+03	8.4700465736e+00	3.0506280930e+03	1.6715165939e-04	9.9038495200e-01
6.4200000000e+03	8.9766911699e+00	3.0940044145e+03	2.0698028513e-04	9.7879330800e-01
6.4250000000e+03	7.6140300952e+00	2.9646487035e+03	3.5589305999e-04	8.9309809250e-01
6.4250000000e+03	8.1225594527e+00	3.0074494670e+03	1.6844421559e-01	8.4503944300e-01
6.4250000000e+03	8.4777281623e+00	3.0512736560e+03	2.3638814369e-04	1.0292653500e+00
6.4250000000e+03	8.9818706706e+00	3.0949557395e+03	2.5895023725e-04	1.0199844900e+00
6.4300000000e+03	7.6180934284e+00	2.9646484245e+03	4.4224172199e-04	9.4925003050e-01
6.4300000000e+03	8.1213981704e+00	3.0082739495e+03	2.2006538547e-04	9.2437320000e-01
6.4300000000e+03	8.4832063320e+00	3.0517965905e+03	2.7295751678e-04	1.1708514500e+00
6.4300000000e+03	8.9825858712e+00	3.0949550330e+03	2.4029565045e-04	1.0205632350e+00
6.4350000000e+03	7.6234106933e+00	2.9654395420e+03	3.8116442861e-04	9.9098056750e-01
6.4350000000e+03	8.1264666204e+00	3.0085965560e+03	2.1579186438e-04	9.3912703450e-01
6.4350000000e+03	8.4887984445e+00	3.0518616095e+03	6.7535614137e-03	9.4027629500e-01
6.4350000000e+03	8.9874097901e+00	3.0949335380e+03	4.2506067740e-04	8.2884527500e-01
6.4400000000e+03	7.6253917896e+00	2.9655833775e+03	3.2583856970e-04	1.0821412900e+00
6.4400000000e+03	8.1292924079e+00	3.0085963095e+03	1.9301011109e-04	9.3239533950e-01
6.4400000000e+03	8.4898991560e+00	3.0523866930e+03	2.2006538547e-04	1.0692892150e+00
6.4400000000e+03	8.9963495212e+00	3.0959766795e+03	1.9777651057e-04	9.0222191150e-01
6.4450000000e+03	7.6304105672e+00	2.9659415135e+03	2.8628025878e-04	9.3666800600e-01
6.4450000000e+03	8.1316063011e+00	3.0091534180e+03	2.7969822357e-04	8.8448083200e-01
6.4450000000e+03	8.4954512826e+00	3.0526208775e+03	1.9301011109e-04	1.1481783100e+00
6.4450000000e+03	8.9973079435e+00	3.0958684575e+03	3.0210861013e-04	9.0632883650e-01
6.4500000000e+03	7.6391312434e+00	2.9662090515e+03	4.1170463755e-04	9.3183562800e-01
6.4500000000e+03	8.1354713288e+00	3.0089530555e+03	3.2007105962e-04	8.5295245600e-01
6.4500000000e+03	8.5020069836e+00	3.0526051200e+03	3.2583856970e-04	9.4063437350e-01
6.4500000000e+03	9.0023699803e+00	3.0961391110e+03	2.7295751678e-04	9.4844931650e-01
6.4550000000e+03	7.6409270341e+00	2.9665874620e+03	2.3638814369e-04	1.0674717200e+00
6.4550000000e+03	8.1409566828e+00	3.0096552285e+03	2.7295751678e-04	8.9208166950e-01
6.4550000000e+03	8.5057464893e+00	3.0535555070e+03	3.2972262498e-02	1.0374694300e+00
6.4550000000e+03	9.0017792501e+00	3.0968040715e+03	1.6715165939e-04	1.0304918650e+00
6.4600000000e+03	7.6426430623e+00	2.9675574915e+03	3.8360000885e-04	9.9232935200e-01
6.4600000000e+03	8.1472699613e+00	3.0106801675e+03	1.8812298593e-04	1.0247383900e+00
6.4600000000e+03	8.5097632701e+00	3.0545584365e+03	1.1036651645e-02	9.9512653450e-01
6.4600000000e+03	9.0092615035e+00	3.0973059775e+03	2.3638814369e-04	1.1005616750e+00
6.4650000000e+03	7.6483286638e+00	2.9678254925e+03	3.1419769717e-04	9.5416664450e-01
6.4650000000e+03	8.1502894460e+00	3.0108583035e+03	1.4950498918e-04	9.8483731700e-01
6.4650000000e+03	8.5125465187e+00	3.0545395945e+03	2.0698028513e-04	1.0143921650e+00
6.4650000000e+03	9.0103417174e+00	3.0979168740e+03	2.4414062500e-04	1.0331576600e+00
6.4700000000e+03	7.6475393993e+00	2.9684727320e+03	2.6604607810e-04	9.5771777300e-01
6.4700000000e+03	8.1579822210e+00	3.0115955740e+03	3.2296768934e-04	9.1637714450e-01
6.4700000000e+03	8.5193146531e+00	3.0544990980e+03	2.3864824144e-02	1.0074674775e+00
6.4700000000e+03	9.0152530535e+00	3.0978435150e+03	2.8300837694e-04	9.7955250250e-01
6.4750000000e+03	7.6529099466e+00	2.9684722450e+03	2.4029565045e-04	9.5323415750e-01
6.4750000000e+03	8.1567488121e+00	3.0110703450e+03	2.3638814369e-04	8.2704494050e-01
6.4750000000e+03	8.5211952179e+00	3.0551862780e+03	2.5532837724e-04	1.0103536150e+00
6.4750000000e+03	9.0190267009e+00	3.0978417745e+03	2.4414062500e-04	9.6175285650e-01
6.4800000000e+03	7.6616118319e+00	2.9685957085e+03	2.4029565045e-04	8.6227953800e-01
6.4800000000e+03	8.1655891573e+00	3.0122409985e+03	2.9587889755e-04	9.2807562100e-01
6.4800000000e+03	8.5231439387e+00	3.0557441080e+03	2.4792597670e-04	1.0852348750e+00
6.4800000000e+03	9.0193982640e+00	3.0988320360e+03	1.8812298593e-04	1.0465525850e+00
6.4850000000e+03	7.6581792838e+00	2.9685949990e+03	3.6365891381e-04	8.7300252100e-01
6.4850000000e+03	8.1683286419e+00	3.0121723820e+03	7.0016183600e-02	9.2050843450e-01
6.4850000000e+03	8.5217511627e+00	3.0557414345e+03	2.7969822357e-04	1.0668524350e+00
6.4850000000e+03	9.0191535635e+00	3.0989242070e+03	2.6127752433e-03	1.0622313350e+00
6.4900000000e+03	7.6633301938e+00	2.9693859265e+03	4.6881993090e-04	9.5701966850e-01
6.4900000000e+03	8.1674584412e+00	3.0122391610e+03	2.3638814369e-04	9.5374987750e-01
6.4900000000e+03	8.5270689537e+00	3.0553617695e+03	2.5532837724e-04	9.6774418350e-01
6.4900000000e+03	9.0300760927e+00	3.0997670845e+03	2.0243071230e-04	1.2032010100e+00
6.4950000000e+03	7.6634044060e+00	2.9693858320e+03	3.3150575229e-04	9.5252749500e-01
6.4950000000e+03	8.1700694619e+00	3.0122390605e+03	2.5165439609e-04	9.4532103250e-01
6.4950000000e+03	8.5306436189e+00	3.0557403325e+03	3.6108885395e-04	1.0747358250e+00
6.4950000000e+03	9.0326471350e+00	3.0997669490e+03	1.4950498918e-04	1.1931010200e+00
6.5000000000e+03	7.6644053042e+00	2.9693856385e+03	2.5895023725e-04	9.4723767600e-01
6.5000000000e+03	8.1704937132e+00	3.0130667320e+03	2.4029565045e-04	9.2813803850e-01
6.5000000000e+03	8.5322149890e+00	3.0562462970e+03	1.6303414533e-02	9.6044159800e-01
6.5000000000e+03	9.0339869497e+00	3.0995658800e+03	2.2006538547e-04	1.0507518100e+00
6.5050000000e+03	7.6697938492e+00	2.9700325460e+03	2.9271432637e-04	9.8342987100e-01
6.5050000000e+03	8.1727721220e+00	3.0132453540e+03	1.7263349150e-04	9.0230278050e-01
6.5050000000e+03	8.5416358652e+00	3.0570358565e+03	2.5532837724e-04	1.1227395100e+00
6.5050000000e+03	9.0480854694e+00	3.1003533115e+03	1.2561895936e-01	1.1604291400e+00
6.5100000000e+03	7.6724209289e+00	2.9705353095e+03	4.2286396669e-04	9.3635387050e-01
6.5100000000e+03	8.1763137964e+00	3.0139467120e+03	2.5895023725e-04	1.0082660050e+00
6.5100000000e+03	8.5491612583e+00	3.0573060895e+03	1.9777651057e-04	1.0671030450e+00
6.5100000000e+03	9.0470503830e+00	3.1002839950e+03	2.3638814369e-04	1.0567572900e+00
6.5150000000e+03	7.6750673611e+00	2.9706247910e+03	3.8360000885e-04	9.6377337250e-01
6.5150000000e+03	8.1806013751e+00	3.0135130990e+03	2.4029565045e-04	8.6257755250e-01
6.5150000000e+03	8.5496757969e+00	3.0573915855e+03	1.1785036804e-01	1.0119233285e+00
6.5150000000e+03	9.0455233975e+00	3.1007517930e+03	2.2006538547e-04	1.0233460100e+00
6.5200000000e+03	7.6825031232e+00	2.9710035835e+03	1.4314012939e-04	1.0491357950e+00
6.5200000000e+03	8.1851773309e+00	3.0144495185e+03	2.4029565045e-04	1.0314882150e+00
6.5200000000e+03	8.5512815476e+00	3.0584191790e+03	2.0698028513e-04	1.0820862450e+00
6.5200000000e+03	9.0539893288e+00	3.1016087415e+03	1.9829382013e-03	1.1592063900e+00
6.5250000000e+03	7.6834836507e+00	2.9712715000e+03	2.8300837694e-04	9.3382990700e-01
6.5250000000e+03	8.1869316530e+00	3.0144485155e+03	2.6252213339e-04	1.0474569450e+00
6.5250000000e+03	8.5582824289e+00	3.0582190575e+03	2.0243071230e-04	1.0237624700e+00
6.5250000000e+03	9.0586696978e+00	3.1015978695e+03	2.0243071230e-04	1.1626849000e+00
6.5300000000e+03	7.6924839660e+00	2.9723310030e+03	2.2837264324e-04	9.3673739150e-01
6.5300000000e+03	8.1938952918e+00	3.0153648485e+03	1.9301011109e-04	9.9100978300e-01
6.5300000000e+03	8.5666329281e+00	3.0582194505e+03	1.8812298593e-04	1.0247414150e+00
6.5300000000e+03	9.0646905122e+00	3.1017966435e+03	4.3725268151e-02	1.0104259405e+00
6.5350000000e+03	7.6953991570e+00	2.9726895790e+03	3.2338812435e-01	8.5586169050e-01
6.5350000000e+03	8.2012461563e+00	3.0156330125e+03	3.3150575229e-04	8.2398364250e-01
6.5350000000e+03	8.5789435171e+00	3.0589920090e+03	2.3638814369e-04	9.9649062150e-01
6.5350000000e+03	9.0690556932e+00	3.1026934595e+03	2.2006538547e-04	1.0958066800e+00
6.5400000000e+03	7.6988121626e+00	2.9730127460e+03	3.5589305999e-04	8.4842994300e-01
6.5400000000e+03	8.2027768439e+00	3.0164253035e+03	2.1143198335e-04	9.9042344950e-01
6.5400000000e+03	8.5830659566e+00	3.0602088520e+03	5.1609907609e-04	1.1755010100e+00
6.5400000000e+03	9.0828263065e+00	3.1032848605e+03	2.1579186438e-04	1.1206860250e+00
6.5450000000e+03	7.7018744740e+00	2.9736593190e+03	4.0715527539e-04	9.5371685750e-01
6.5450000000e+03	8.2013468870e+00	3.0164586475e+03	3.8394848956e-02	9.9058564750e-01
6.5450000000e+03	8.5861412106e+00	3.0602135710e+03	7.6598513171e-04	1.1734823350e+00
6.5450000000e+03	9.0785227941e+00	3.1034651395e+03	2.7969822357e-04	1.1311577050e+00
6.5500000000e+03	7.7059115532e+00	2.9736592215e+03	3.2296768934e-04	9.5470996250e-01
6.5500000000e+03	8.2039999073e+00	3.0164478445e+03	8.7234677229e-02	8.8807619500e-01
6.5500000000e+03	8.5860834056e+00	3.0606214690e+03	2.4467849990e-01	1.1108648400e+00
6.5500000000e+03	9.0855003862e+00	3.1034276810e+03	2.8951516664e-04	1.0446398850e+00
6.5550000000e+03	7.7106928460e+00	2.9738382140e+03	3.2868437544e-04	9.0859136550e-01
6.5550000000e+03	8.2092644600e+00	3.0179870320e+03	2.2006538547e-04	1.0514122500e+00
6.5550000000e+03	8.5964846473e+00	3.0603088930e+03	5.9489711577e-04	1.0140390900e+00
6.5550000000e+03	9.0888118142e+00	3.1036084125e+03	2.1579186438e-04	1.0491037300e+00
6.5600000000e+03	7.7159737709e+00	2.9744865380e+03	3.2583856970e-04	9.2054099700e-01
6.5600000000e+03	8.2131029495e+00	3.0177191335e+03	1.9777651057e-04	1.0961937200e+00
6.5600000000e+03	8.5983979757e+00	3.0615289615e+03	4.2953661957e-02	1.1278587400e+00
6.5600000000e+03	9.0923935236e+00	3.1046287175e+03	7.5917037750e-03	1.1962550750e+00
6.5650000000e+03	7.7229528426e+00	2.9746656810e+03	3.0821243098e-04	9.0115811800e-01
6.5650000000e+03	8.2161220346e+00	3.0180784200e+03	2.7969822357e-04	9.7940068250e-01
6.5650000000e+03	8.6054236020e+00	3.0617749230e+03	2.9574800199e-01	1.0494965050e+00
6.5650000000e+03	9.1033029144e+00	3.1047921920e+03	3.0210861013e-04	1.0676828250e+00
6.5700000000e+03	7.7234761281e+00	2.9748445970e+03	4.0255450312e-04	8.6856355450e-01
6.5700000000e+03	8.2183874425e+00	3.0180774225e+03	1.8310546875e-04	1.0432321200e+00
6.5700000000e+03	8.6053036945e+00	3.0641629665e+03	1.4372154206e+00	1.0197745300e+00
6.5700000000e+03	9.1016752592e+00	3.1046127160e+03	2.8628025878e-04	1.0464280100e+00
6.5750000000e+03	7.7274992259e+00	2.9749338040e+03	3.8116442861e-04	9.0323322100e-01
6.5750000000e+03	8.2189257389e+00	3.0188275315e+03	1.1740963863e-01	1.0831176200e+00
6.5750000000e+03	8.6063335045e+00	3.0628798450e+03	1.9399086109e-01	9.7957268000e-01
6.5750000000e+03	9.1087900266e+00	3.1053862955e+03	2.4029565045e-04	1.0129088550e+00
6.5800000000e+03	7.7292857738e+00	2.9749335025e+03	3.4255896485e-04	9.1520452200e-01
6.5800000000e+03	8.2221013908e+00	3.0191389220e+03	2.2006538547e-04	9.5997166050e-01
6.5800000000e+03	8.6134671826e+00	3.0628127820e+03	9.0321823781e-02	1.0283323000e+00
6.5800000000e+03	9.1163413129e+00	3.1059429615e+03	3.7871318500e-04	1.0236041350e+00
6.5850000000e+03	7.7307171898e+00	2.9752010780e+03	3.1419769717e-04	8.2035825600e-01
6.5850000000e+03	8.2238420608e+00	3.0191387155e+03	1.8310546875e-04	9.7090166000e-01
6.5850000000e+03	8.6172541694e+00	3.0631262725e+03	5.0050688918e-03	1.0167105400e+00
6.5850000000e+03	9.1143402178e+00	3.1059429140e+03	5.4077286214e-04	1.0203611500e+00
6.5900000000e+03	7.7362154879e+00	2.9758208905e+03	6.9594251293e-02	9.2598930100e-01
6.5900000000e+03	8.2261050550e+00	3.0191378055e+03	1.9777651057e-04	1.0434315300e+00
6.5900000000e+03	8.6197824714e+00	3.0636078115e+03	2.2425748378e-04	1.0320566250e+00
6.5900000000e+03	9.1173669291e+00	3.1059425140e+03	2.5165439609e-04	1.0234448300e+00
6.5950000000e+03	7.2624671942e+00	2.9335165060e+03	3.5850037001e-04	8.7868332100e-01
6.5950000000e+03	7.7377012089e+00	2.9759029385e+03	2.8951516664e-04	9.4302546300e-01
6.5950000000e+03	8.2282203604e+00	3.0191373555e+03	1.9777651057e-04	1.0418848100e+00
6.5950000000e+03	8.6229129392e+00	3.0636405815e+03	1.3989705183e-02	1.1079409300e+00
6.5950000000e+03	9.1225980530e+00	3.1060321520e+03	2.5532837724e-04	1.0204514300e+00
6.6000000000e+03	7.2637027297e+00	2.9335159075e+03	4.0943627518e-04	8.7220288550e-01
6.6000000000e+03	7.7373048956e+00	2.9764603175e+03	2.9587889755e-04	9.2545915850e-01
6.6000000000e+03	8.2285411630e+00	3.0199837070e+03	1.4314012939e-04	1.2320782750e+00
6.6000000000e+03	8.6222650928e+00	3.0637105785e+03	9.9134697944e-03	1.0563251750e+00
6.6000000000e+03	9.1210406825e+00	3.1059428700e+03	6.8503473176e-02	8.6661769100e-01
6.6050000000e+03	7.7380309575e+00	2.9765494465e+03	3.6365891381e-04	9.2716702850e-01
6.6050000000e+03	8.2316643561e+00	3.0205406315e+03	3.6108885395e-04	1.1790910900e+00
6.6050000000e+03	8.6281663095e+00	3.0644871710e+03	2.6952395222e-04	1.0088642220e+00
6.6050000000e+03	9.1249829492e+00	3.1062091680e+03	2.9900997837e-04	9.1622869650e-01
6.6100000000e+03	7.2651782593e+00	2.9335156205e+03	3.8602022219e-04	8.6189636600e-01
6.6100000000e+03	7.7413074773e+00	2.9771069735e+03	2.9900997837e-04	9.6347118650e-01
6.6100000000e+03	8.2320354225e+00	3.0206298925e+03	2.2006538547e-04	1.1774188450e+00
6.6100000000e+03	8.6289813684e+00	3.0644888940e+03	2.3638814369e-04	9.8534102100e-01
6.6100000000e+03	9.1242087374e+00	3.1064435540e+03	3.2007105962e-04	9.8065646250e-01
6.6150000000e+03	7.7442895687e+00	2.9767290130e+03	4.6482990148e-04	9.1036192200e-01
6.6150000000e+03	8.2346775103e+00	3.0210951000e+03	9.9638841048e-04	1.1796289200e+00
6.6150000000e+03	8.6292823687e+00	3.0644799710e+03	3.2409035772e-03	1.0669557000e+00
6.6150000000e+03	9.1262782293e+00	3.1071458195e+03	2.7295751678e-04	1.0535355100e+00
6.6200000000e+03	7.2750934791e+00	2.9342587890e+03	2.1369409742e-02	8.3852890150e-01
6.6200000000e+03	7.7471320840e+00	2.9776992070e+03	4.2065578467e-04	8.6020885950e-01
6.6200000000e+03	8.2358124679e+00	3.0208088345e+03	2.2425748378e-04	1.1713844850e+00
6.6200000000e+03	8.6327196926e+00	3.0646632915e+03	8.3909467071e-04	1.0850986400e+00
6.6200000000e+03	9.1304864753e+00	3.1071258770e+03	2.2425748378e-04	9.1841836250e-01
6.6250000000e+03	7.2686531453e+00	2.9342524310e+03	4.6482990148e-04	8.8017722100e-01
6.6250000000e+03	7.7524512996e+00	2.9776995040e+03	3.5326650704e-04	8.9624933000e-01
6.6250000000e+03	8.2380656221e+00	3.0211668245e+03	1.6715165939e-04	1.0887683650e+00
6.6250000000e+03	8.6338554217e+00	3.0652099960e+03	7.5198755557e-02	1.0023168300e+00
6.6250000000e+03	9.1310266896e+00	3.1077933715e+03	2.0243071230e-04	1.0710356400e+00
6.6300000000e+03	7.7558776743e+00	2.9777544595e+03	3.0821243098e-04	9.9936500600e-01
6.6300000000e+03	8.2418010933e+00	3.0214902710e+03	1.8812298593e-04	1.1200428750e+00
6.6300000000e+03	8.6439199832e+00	3.0654058840e+03	2.1143198335e-04	1.0709695800e+00
6.6300000000e+03	9.1322636474e+00	3.1077921255e+03	5.0515580314e-04	1.0221673025e+00
6.6350000000e+03	7.2730117590e+00	2.9349880855e+03	3.9081568832e-04	8.9058332150e-01
6.6350000000e+03	7.7601008214e+00	2.9781121740e+03	3.1419769717e-04	8.8738823050e-01
6.6350000000e+03	8.2443366722e+00	3.0221929990e+03	3.7376247296e-04	1.1795395100e+00
6.6350000000e+03	8.6491037015e+00	3.0658171350e+03	1.6148384467e-04	1.0888811550e+00
6.6350000000e+03	9.1401773876e+00	3.1083493805e+03	2.4029565045e-04	1.0724435050e+00
6.6400000000e+03	7.2788440927e+00	2.9352564775e+03	4.1843594973e-04	8.0999455750e-01
6.6400000000e+03	7.7625581347e+00	2.9786695490e+03	3.7126236147e-04	9.1323113800e-01
6.6400000000e+03	8.2460631769e+00	3.0219920065e+03	1.6148384467e-04	1.1152399800e+00
6.6400000000e+03	8.6514652469e+00	3.0660320880e+03	2.0243071230e-04	9.7696932150e-01
6.6400000000e+03	9.1407733471e+00	3.1083302140e+03	2.5895023725e-04	9.6446308600e-01
6.6450000000e+03	7.7651873423e+00	2.9786695555e+03	3.3430331879e-04	9.4724528250e-01
6.6450000000e+03	8.2497212971e+00	3.0221715195e+03	1.6715165939e-04	1.0864791500e+00
6.6450000000e+03	8.6627241739e+00	3.0660331925e+03	1.5560972637e-04	1.0184435900e+00
6.6450000000e+03	9.1433815640e+00	3.1091225600e+03	2.6252213339e-04	1.0466518100e+00
6.6500000000e+03	7.2758946429e+00	2.9360139310e+03	3.5326650704e-04	1.0114957750e+00
6.6500000000e+03	7.7678121203e+00	2.9796397415e+03	2.6252213339e-04	9.1405359300e-01
6.6500000000e+03	8.2503486564e+00	3.0225483530e+03	1.8812298593e-04	1.1692207100e+00
6.6500000000e+03	8.6585117981e+00	3.0663773570e+03	8.3463372405e-02	1.0280281895e+00
6.6500000000e+03	9.1458627135e+00	3.1091221000e+03	1.6715165939e-04	1.0968984600e+00
6.6550000000e+03	7.7736434578e+00	2.9796401235e+03	2.7634842341e-04	8.8650394100e-01
6.6550000000e+03	8.2518139936e+00	3.0228921405e+03	1.3489949447e-01	1.0304296525e+00
6.6550000000e+03	8.6645981903e+00	3.0664989335e+03	2.7634842341e-04	1.0136015700e+00
6.6550000000e+03	9.1525238094e+00	3.1091013885e+03	2.8951516664e-04	9.3611761000e-01
6.6600000000e+03	7.7752247162e+00	2.9794950300e+03	3.5850037001e-04	9.2331461900e-01
6.6600000000e+03	8.2536771134e+00	3.0229976160e+03	2.3638814369e-04	1.0144305550e+00
6.6600000000e+03	8.6647608560e+00	3.0667673860e+03	3.1714797502e-04	9.5961352050e-01
6.6600000000e+03	9.1533505135e+00	3.1091013385e+03	3.5589305999e-04	9.1950386350e-01
6.6650000000e+03	7.2813338411e+00	2.9371079135e+03	4.6282198755e-04	8.5386657600e-01
6.6650000000e+03	7.7795575429e+00	2.9801411565e+03	2.8628025878e-04	9.5967923150e-01
6.6650000000e+03	8.2581175067e+00	3.0238421175e+03	2.9587889755e-04	1.1865757300e+00
6.6650000000e+03	8.6697724833e+00	3.0673237755e+03	2.4029565045e-04	9.1717842200e-01
6.6650000000e+03	9.1584827031e+00	3.1098014380e+03	2.9587889755e-04	9.6674816350e-01
6.6700000000e+03	7.2913462215e+00	2.9371077855e+03	2.8951516664e-04	8.8643800950e-01
6.6700000000e+03	7.7825685628e+00	2.9801412450e+03	2.0698028513e-04	9.6225222100e-01
6.6700000000e+03	8.2597995345e+00	3.0244828890e+03	3.2816089706e-02	1.1448234950e+00
6.6700000000e+03	8.6707222003e+00	3.0674135495e+03	2.4414062500e-04	9.4251087550e-01
