# motor (mm)	wavenumber (cm-1)
8.600000e+03	3.062617e+03
8.620000e+03	3.063865e+03
8.640000e+03	3.068167e+03
8.660000e+03	3.066491e+03
8.680000e+03	3.068471e+03
8.700000e+03	3.069494e+03
8.720000e+03	3.071045e+03
8.740000e+03	3.072680e+03
8.760000e+03	3.074501e+03
8.780000e+03	3.075987e+03
8.800000e+03	3.077559e+03
8.820000e+03	3.079706e+03
8.840000e+03	3.081375e+03
8.860000e+03	3.083738e+03
8.900000e+03	3.087506e+03
8.920000e+03	3.089660e+03
8.940000e+03	3.090527e+03
8.960000e+03	3.093418e+03
8.980000e+03	3.094678e+03
9.000000e+03	3.097726e+03
9.020000e+03	3.099353e+03
9.040000e+03	3.099639e+03
9.060000e+03	3.102453e+03
9.080000e+03	3.103689e+03
9.100000e+03	3.104964e+03
9.120000e+03	3.108163e+03
9.140000e+03	3.108723e+03
9.160000e+03	3.110022e+03
9.180000e+03	3.112445e+03
9.200000e+03	3.112922e+03
9.220000e+03	3.115302e+03
9.240000e+03	3.116198e+03
9.260000e+03	3.117811e+03
9.280000e+03	3.119322e+03
9.300000e+03	3.120842e+03
9.320000e+03	3.123518e+03
9.340000e+03	3.122960e+03
