# motor (mm)	wavenumber (cm-1)
7.200000e+03	2.930112e+03
7.220000e+03	2.932154e+03
7.240000e+03	2.934211e+03
7.260000e+03	2.936275e+03
7.280000e+03	2.938358e+03
7.300000e+03	2.939961e+03
7.320000e+03	2.941460e+03
7.340000e+03	2.943128e+03
7.360000e+03	2.944554e+03
7.380000e+03	2.946263e+03
7.400000e+03	2.947596e+03
7.420000e+03	2.949074e+03
7.440000e+03	2.950962e+03
7.460000e+03	2.952216e+03
7.480000e+03	2.953334e+03
7.500000e+03	2.955183e+03
7.520000e+03	2.956701e+03
7.580000e+03	2.962064e+03
7.600000e+03	2.964371e+03
7.620000e+03	2.966060e+03
7.640000e+03	2.967307e+03
7.660000e+03	2.969851e+03
7.680000e+03	2.971878e+03
7.700000e+03	2.973547e+03
7.720000e+03	2.975726e+03
7.740000e+03	2.976837e+03
7.760000e+03	2.978484e+03
7.780000e+03	2.981129e+03
7.800000e+03	2.982579e+03
7.820000e+03	2.984896e+03
7.840000e+03	2.985674e+03
7.860000e+03	2.989181e+03
7.880000e+03	2.989337e+03
7.900000e+03	2.991535e+03
