# motor (mm)	wavenumber (cm-1)
9.900000e+03	3.193150e+03
9.920000e+03	3.195015e+03
9.940000e+03	3.196594e+03
9.960000e+03	3.198741e+03
9.980000e+03	3.200322e+03
1.000000e+04	3.202193e+03
1.002000e+04	3.204659e+03
1.004000e+04	3.205448e+03
1.006000e+04	3.209031e+03
1.008000e+04	3.210769e+03
1.010000e+04	3.212959e+03
1.012000e+04	3.216755e+03
1.016000e+04	3.220429e+03
1.018000e+04	3.223269e+03
1.020000e+04	3.225244e+03
1.022000e+04	3.227543e+03
1.024000e+04	3.228935e+03
1.026000e+04	3.231391e+03
1.028000e+04	3.233099e+03
1.030000e+04	3.235186e+03
1.032000e+04	3.237330e+03
1.034000e+04	3.240280e+03
1.036000e+04	3.240974e+03
1.038000e+04	3.242880e+03
1.040000e+04	3.245289e+03
1.042000e+04	3.246490e+03
1.044000e+04	3.249144e+03
1.046000e+04	3.249953e+03
1.048000e+04	3.250869e+03
