# motor (mm)	wavenumber (cm-1)
8.220000e+03	3.019832e+03
8.240000e+03	3.022259e+03
8.260000e+03	3.024873e+03
8.280000e+03	3.027694e+03
8.300000e+03	3.030427e+03
8.340000e+03	3.036185e+03
8.360000e+03	3.038275e+03
8.400000e+03	3.043717e+03
8.420000e+03	3.046537e+03
8.440000e+03	3.048550e+03
8.460000e+03	3.050565e+03
8.480000e+03	3.052559e+03
8.500000e+03	3.054216e+03
8.520000e+03	3.055537e+03
8.540000e+03	3.057873e+03
8.560000e+03	3.059268e+03
8.580000e+03	3.064196e+03
8.600000e+03	3.061989e+03
8.640000e+03	3.065635e+03
8.660000e+03	3.066127e+03
8.680000e+03	3.067467e+03
8.700000e+03	3.069124e+03
8.720000e+03	3.070870e+03
8.740000e+03	3.072733e+03
8.760000e+03	3.073652e+03
8.780000e+03	3.076262e+03
8.800000e+03	3.077477e+03
8.820000e+03	3.080073e+03
