# motor (mm)	wavenumber (cm-1)
6.240000e+03	2.843426e+03
6.260000e+03	2.844672e+03
6.280000e+03	2.846073e+03
6.300000e+03	2.847339e+03
6.320000e+03	2.848730e+03
6.340000e+03	2.850404e+03
6.360000e+03	2.852099e+03
6.380000e+03	2.853397e+03
6.400000e+03	2.855201e+03
6.420000e+03	2.856850e+03
6.440000e+03	2.858608e+03
6.460000e+03	2.860151e+03
6.480000e+03	2.861969e+03
6.500000e+03	2.863315e+03
6.520000e+03	2.864805e+03
6.540000e+03	2.867101e+03
6.580000e+03	2.870268e+03
6.620000e+03	2.873637e+03
6.640000e+03	2.875040e+03
6.660000e+03	2.877022e+03
6.680000e+03	2.878208e+03
6.700000e+03	2.879453e+03
6.720000e+03	2.881002e+03
6.740000e+03	2.881624e+03
6.760000e+03	2.882968e+03
6.780000e+03	2.884347e+03
6.800000e+03	2.886300e+03
6.820000e+03	2.887187e+03
6.860000e+03	2.889309e+03
6.880000e+03	2.891438e+03
6.900000e+03	2.893094e+03
6.920000e+03	2.894880e+03
6.940000e+03	2.896584e+03
6.960000e+03	2.898299e+03
6.980000e+03	2.899793e+03
7.000000e+03	2.902355e+03
7.020000e+03	2.905778e+03
7.040000e+03	2.907513e+03
