# motor (mm)	wavenumber (cm-1)
5.500000e+03	2.780438e+03
5.520000e+03	2.781607e+03
5.540000e+03	2.783015e+03
5.560000e+03	2.783973e+03
5.580000e+03	2.785309e+03
5.600000e+03	2.786455e+03
5.620000e+03	2.787251e+03
5.640000e+03	2.788640e+03
5.660000e+03	2.789969e+03
5.680000e+03	2.791161e+03
5.700000e+03	2.792823e+03
5.720000e+03	2.794165e+03
5.740000e+03	2.795837e+03
5.760000e+03	2.799164e+03
5.780000e+03	2.799551e+03
5.800000e+03	2.803248e+03
5.820000e+03	2.803929e+03
5.840000e+03	2.806449e+03
5.860000e+03	2.808580e+03
5.880000e+03	2.811287e+03
5.900000e+03	2.813699e+03
5.920000e+03	2.816688e+03
5.940000e+03	2.819449e+03
5.960000e+03	2.821399e+03
