# motor (mm)	wavenumber (cm-1)
5.800000e+03	2.801554e+03
5.820000e+03	2.804037e+03
5.840000e+03	2.806470e+03
5.860000e+03	2.808987e+03
5.880000e+03	2.811618e+03
5.900000e+03	2.813780e+03
5.920000e+03	2.816550e+03
5.940000e+03	2.819237e+03
5.960000e+03	2.821070e+03
5.980000e+03	2.823439e+03
6.000000e+03	2.825491e+03
6.020000e+03	2.827336e+03
6.040000e+03	2.829319e+03
6.060000e+03	2.830619e+03
6.080000e+03	2.832104e+03
6.100000e+03	2.835437e+03
6.120000e+03	2.835466e+03
6.140000e+03	2.836714e+03
6.160000e+03	2.838492e+03
6.180000e+03	2.839440e+03
6.200000e+03	2.842001e+03
6.220000e+03	2.841810e+03
6.240000e+03	2.843390e+03
6.260000e+03	2.845595e+03
6.280000e+03	2.845768e+03
6.300000e+03	2.846946e+03
6.320000e+03	2.849209e+03
6.340000e+03	2.849892e+03
6.360000e+03	2.851947e+03
6.380000e+03	2.853740e+03
6.400000e+03	2.855153e+03
6.420000e+03	2.856177e+03
6.440000e+03	2.858484e+03
6.460000e+03	2.860843e+03
6.480000e+03	2.861938e+03
