# motor (mm)	wavenumber (cm-1)
9.520000e+03	3.149245e+03
9.540000e+03	3.152349e+03
9.560000e+03	3.156152e+03
9.580000e+03	3.158151e+03
9.600000e+03	3.162713e+03
9.620000e+03	3.165129e+03
9.640000e+03	3.167386e+03
9.660000e+03	3.169940e+03
9.680000e+03	3.172459e+03
9.700000e+03	3.175539e+03
9.720000e+03	3.177061e+03
9.740000e+03	3.178171e+03
9.760000e+03	3.181565e+03
9.780000e+03	3.182526e+03
9.800000e+03	3.183785e+03
9.820000e+03	3.185595e+03
9.840000e+03	3.188078e+03
9.860000e+03	3.189706e+03
9.880000e+03	3.191499e+03
9.900000e+03	3.192337e+03
9.920000e+03	3.194347e+03
9.940000e+03	3.197425e+03
9.960000e+03	3.198508e+03
9.980000e+03	3.199876e+03
1.000000e+04	3.204262e+03
1.002000e+04	3.204352e+03
1.004000e+04	3.206819e+03
1.006000e+04	3.210113e+03
1.008000e+04	3.210162e+03
