# motor (mm)	wavenumber (cm-1)
6.800000e+03	2.886668e+03
6.820000e+03	2.887607e+03
6.840000e+03	2.888684e+03
6.860000e+03	2.889873e+03
6.880000e+03	2.891736e+03
6.900000e+03	2.892979e+03
6.920000e+03	2.894784e+03
6.940000e+03	2.896308e+03
6.960000e+03	2.898422e+03
6.980000e+03	2.900880e+03
7.000000e+03	2.902859e+03
7.020000e+03	2.905353e+03
7.040000e+03	2.908380e+03
7.100000e+03	2.916431e+03
7.120000e+03	2.918987e+03
7.140000e+03	2.922286e+03
7.160000e+03	2.924199e+03
7.180000e+03	2.927161e+03
7.200000e+03	2.930049e+03
7.220000e+03	2.932303e+03
7.240000e+03	2.933564e+03
7.260000e+03	2.935979e+03
7.280000e+03	2.938006e+03
7.300000e+03	2.939496e+03
7.320000e+03	2.941641e+03
7.340000e+03	2.942819e+03
7.360000e+03	2.944715e+03
7.380000e+03	2.945918e+03
7.400000e+03	2.948180e+03
7.420000e+03	2.949001e+03
