# wavenumber (cm-1)	etalon position (steps)
3.104097e+03	6.018151e+03
3.105276e+03	6.028571e+03
3.107571e+03	6.053697e+03
3.108402e+03	6.064437e+03
3.109924e+03	6.080684e+03
3.111873e+03	6.102104e+03
3.113318e+03	6.118600e+03
3.114891e+03	6.133644e+03
3.116243e+03	6.147946e+03
3.117850e+03	6.164543e+03
3.119432e+03	6.183311e+03
3.121000e+03	6.201581e+03
3.122234e+03	6.214944e+03
3.124126e+03	6.241110e+03
3.126718e+03	6.277488e+03
3.128536e+03	6.307165e+03
3.130690e+03	6.335757e+03
3.133573e+03	6.376308e+03
3.135926e+03	6.403404e+03
3.139109e+03	6.440026e+03
3.141669e+03	6.475087e+03
3.145469e+03	6.532137e+03
3.148513e+03	6.573417e+03
3.152366e+03	6.655324e+03
3.155903e+03	6.715746e+03
3.158824e+03	6.772846e+03
3.161999e+03	6.852713e+03
3.165379e+03	6.946641e+03
3.166869e+03	6.984670e+03
