# wavenumber (cm-1)	etalon position (steps)
3.193150e+03	6.033540e+03
3.195015e+03	6.056108e+03
3.196594e+03	6.074750e+03
3.198741e+03	6.098215e+03
3.200322e+03	6.115580e+03
3.202193e+03	6.133527e+03
3.204659e+03	6.161295e+03
3.205448e+03	6.169627e+03
3.209031e+03	6.208568e+03
3.210769e+03	6.234176e+03
3.212959e+03	6.262700e+03
3.216755e+03	6.321072e+03
3.220429e+03	6.367214e+03
3.223269e+03	6.404665e+03
3.225244e+03	6.425158e+03
3.227543e+03	6.455746e+03
3.228935e+03	6.475387e+03
3.231391e+03	6.513996e+03
3.233099e+03	6.537573e+03
3.235186e+03	6.569724e+03
3.237330e+03	6.614163e+03
3.240280e+03	6.664128e+03
3.240974e+03	6.676706e+03
3.242880e+03	6.713728e+03
3.245289e+03	6.755723e+03
3.246490e+03	6.780456e+03
3.249144e+03	6.840093e+03
3.249953e+03	6.863172e+03
3.250869e+03	6.891651e+03
