# wavenumber (cm-1)	etalon position (steps)
2.843426e+03	6.023527e+03
2.844672e+03	6.036780e+03
2.846073e+03	6.052583e+03
2.847339e+03	6.066220e+03
2.848730e+03	6.079890e+03
2.850404e+03	6.096899e+03
2.852099e+03	6.113773e+03
2.853397e+03	6.124824e+03
2.855201e+03	6.146065e+03
2.856850e+03	6.162489e+03
2.858608e+03	6.182328e+03
2.860151e+03	6.197560e+03
2.861969e+03	6.219876e+03
2.863315e+03	6.238369e+03
2.864805e+03	6.260487e+03
2.867101e+03	6.292774e+03
2.870268e+03	6.334437e+03
2.873637e+03	6.375083e+03
2.875040e+03	6.391664e+03
2.877022e+03	6.414282e+03
2.878208e+03	6.428125e+03
2.879453e+03	6.445508e+03
2.881002e+03	6.465589e+03
2.881624e+03	6.474222e+03
2.882968e+03	6.497249e+03
2.884347e+03	6.517286e+03
2.886300e+03	6.540628e+03
2.887187e+03	6.552983e+03
2.889309e+03	6.582126e+03
2.891438e+03	6.626805e+03
2.893094e+03	6.653416e+03
2.894880e+03	6.685706e+03
2.896584e+03	6.716730e+03
2.898299e+03	6.748116e+03
2.899793e+03	6.778999e+03
2.902355e+03	6.841663e+03
2.905778e+03	6.925872e+03
2.907513e+03	6.977746e+03
