# wavenumber (cm-1)	etalon position (steps)
2.801554e+03	6.039778e+03
2.804037e+03	6.067397e+03
2.806470e+03	6.092311e+03
2.808987e+03	6.115732e+03
2.811618e+03	6.143821e+03
2.813780e+03	6.165469e+03
2.816550e+03	6.195306e+03
2.819237e+03	6.228253e+03
2.821070e+03	6.253890e+03
2.823439e+03	6.286452e+03
2.825491e+03	6.316039e+03
2.827336e+03	6.340826e+03
2.829319e+03	6.365256e+03
2.830619e+03	6.380354e+03
2.832104e+03	6.398619e+03
2.835437e+03	6.427377e+03
2.835466e+03	6.435293e+03
2.836714e+03	6.451866e+03
2.838492e+03	6.474729e+03
2.839440e+03	6.489247e+03
2.842001e+03	6.518410e+03
2.841810e+03	6.526374e+03
2.843390e+03	6.546791e+03
2.845595e+03	6.565018e+03
2.845768e+03	6.580221e+03
2.846946e+03	6.600728e+03
2.849209e+03	6.640402e+03
2.849892e+03	6.653303e+03
2.851947e+03	6.686667e+03
2.853740e+03	6.718799e+03
2.855153e+03	6.748170e+03
2.856177e+03	6.766065e+03
2.858484e+03	6.827018e+03
2.860843e+03	6.880009e+03
2.861938e+03	6.911164e+03
