# wavenumber (cm-1)	etalon position (steps)
2.780438e+03	6.293801e+03
2.781607e+03	6.310692e+03
2.783015e+03	6.325574e+03
2.783973e+03	6.339530e+03
2.785309e+03	6.355370e+03
2.786455e+03	6.370206e+03
2.787251e+03	6.378557e+03
2.788640e+03	6.394702e+03
2.789969e+03	6.412142e+03
2.791161e+03	6.425084e+03
2.792823e+03	6.444653e+03
2.794165e+03	6.460474e+03
2.795837e+03	6.485222e+03
2.799164e+03	6.523703e+03
2.799551e+03	6.536442e+03
2.803248e+03	6.580975e+03
2.803929e+03	6.606271e+03
2.806449e+03	6.652267e+03
2.808580e+03	6.685632e+03
2.811287e+03	6.732405e+03
2.813699e+03	6.784380e+03
2.816688e+03	6.854536e+03
2.819449e+03	6.926586e+03
2.821399e+03	6.983961e+03
