# wavenumber (cm-1)	etalon position (steps)
3.149245e+03	6.035001e+03
3.152349e+03	6.070263e+03
3.156152e+03	6.110177e+03
3.158151e+03	6.129745e+03
3.162713e+03	6.179579e+03
3.165129e+03	6.206863e+03
3.167386e+03	6.234460e+03
3.169940e+03	6.275962e+03
3.172459e+03	6.312530e+03
3.175539e+03	6.353417e+03
3.177061e+03	6.372237e+03
3.178171e+03	6.385605e+03
3.181565e+03	6.427393e+03
3.182526e+03	6.439164e+03
3.183785e+03	6.452904e+03
3.185595e+03	6.485613e+03
3.188078e+03	6.521643e+03
3.189706e+03	6.544977e+03
3.191499e+03	6.570203e+03
3.192337e+03	6.585957e+03
3.194347e+03	6.623975e+03
3.197425e+03	6.682535e+03
3.198508e+03	6.708276e+03
3.199876e+03	6.726635e+03
3.204262e+03	6.830228e+03
3.204352e+03	6.828740e+03
3.206819e+03	6.882809e+03
3.210113e+03	6.972754e+03
3.210162e+03	6.986994e+03
