# wavenumber (cm-1)	etalon position (steps)
2.973419e+03	6.019948e+03
2.975547e+03	6.042121e+03
2.977252e+03	6.060896e+03
2.978439e+03	6.077630e+03
2.981002e+03	6.102470e+03
2.983230e+03	6.123018e+03
2.984763e+03	6.137236e+03
2.986502e+03	6.157068e+03
2.988013e+03	6.174392e+03
2.989870e+03	6.194007e+03
2.991575e+03	6.212360e+03
2.992803e+03	6.229461e+03
2.993975e+03	6.246088e+03
2.995486e+03	6.267972e+03
2.997275e+03	6.293322e+03
3.000007e+03	6.331227e+03
3.002517e+03	6.362698e+03
3.004657e+03	6.391763e+03
3.006854e+03	6.416385e+03
3.008104e+03	6.430148e+03
3.010426e+03	6.461177e+03
3.011658e+03	6.479210e+03
3.014548e+03	6.523120e+03
3.017175e+03	6.556776e+03
3.020228e+03	6.607998e+03
3.021940e+03	6.643295e+03
3.024652e+03	6.686958e+03
3.026987e+03	6.729596e+03
3.031301e+03	6.824143e+03
3.034281e+03	6.895559e+03
3.036079e+03	6.954126e+03
