# wavenumber (cm-1)	etalon position (steps)
3.019832e+03	6.046744e+03
3.022259e+03	6.074846e+03
3.024873e+03	6.103001e+03
3.027694e+03	6.127547e+03
3.030427e+03	6.160219e+03
3.036185e+03	6.230850e+03
3.038275e+03	6.257097e+03
3.043717e+03	6.335178e+03
3.046537e+03	6.368624e+03
3.048550e+03	6.394018e+03
3.050565e+03	6.418690e+03
3.052559e+03	6.440386e+03
3.054216e+03	6.462696e+03
3.055537e+03	6.483749e+03
3.057873e+03	6.516318e+03
3.059268e+03	6.534166e+03
3.064196e+03	6.553522e+03
3.061989e+03	6.566367e+03
3.065635e+03	6.629620e+03
3.066127e+03	6.648443e+03
3.067467e+03	6.672478e+03
3.069124e+03	6.707120e+03
3.070870e+03	6.738405e+03
3.072733e+03	6.780286e+03
3.073652e+03	6.811536e+03
3.076262e+03	6.873539e+03
3.077477e+03	6.900785e+03
3.080073e+03	6.973474e+03
