# wavenumber (cm-1)	etalon position (steps)
3.062617e+03	6.035185e+03
3.063865e+03	6.046230e+03
3.068167e+03	6.058896e+03
3.066491e+03	6.078238e+03
3.068471e+03	6.100482e+03
3.069494e+03	6.113689e+03
3.071045e+03	6.129689e+03
3.072680e+03	6.147368e+03
3.074501e+03	6.168708e+03
3.075987e+03	6.185727e+03
3.077559e+03	6.203333e+03
3.079706e+03	6.227583e+03
3.081375e+03	6.250019e+03
3.083738e+03	6.289791e+03
3.087506e+03	6.343350e+03
3.089660e+03	6.369451e+03
3.090527e+03	6.381938e+03
3.093418e+03	6.413118e+03
3.094678e+03	6.429842e+03
3.097726e+03	6.469008e+03
3.099353e+03	6.490924e+03
3.099639e+03	6.494916e+03
3.102453e+03	6.534192e+03
3.103689e+03	6.552978e+03
3.104964e+03	6.570523e+03
3.108163e+03	6.630102e+03
3.108723e+03	6.642031e+03
3.110022e+03	6.665031e+03
3.112445e+03	6.707510e+03
3.112922e+03	6.720773e+03
3.115302e+03	6.760782e+03
3.116198e+03	6.793697e+03
3.117811e+03	6.832993e+03
3.119322e+03	6.865910e+03
3.120842e+03	6.902474e+03
3.123518e+03	6.983228e+03
3.122960e+03	6.964416e+03
